Project_ID,Repository_URL,Language,Framework,Team_Size,Lines_of_Code,Commit_Count,Contributors,Bug_Count,Security_Vulnerabilities,Code_Coverage_Percent,Cyclomatic_Complexity_Avg,Technical_Debt_Hours,Build_Time_Minutes,Test_Count,Performance_Score,Maintainability_Index,Documentation_Coverage_Percent,Code_Duplication_Percent,Developer_Experience_Years_Avg,CI_CD_Pipeline,Deployment_Frequency,Lead_Time_Hours,Recovery_Time_Minutes,License_Type,Open_Source,Star_Count,Fork_Count,Issue_Count_Open,PR_Merge_Rate_Percent,Code_Review_Time_Hours_Avg,Test_Automation_Percent,Dependency_Count,Outdated_Dependencies_Count,Container_Usage,Cloud_Platform,Monitoring_Tools_Count,Security_Scan_Score,Performance_Benchmark_MS,Memory_Usage_MB_Avg,CPU_Usage_Percent_Avg
SE_001,github.com/techcorp/webapp-frontend,TypeScript,React,8,125000,2340,12,89,3,87.5,4.2,156,12,890,8.7,72,85,5.2,6.8,GitHub_Actions,Daily,8,15,MIT,Yes,1240,89,23,92,2.1,95,67,8,Docker,AWS,5,9.2,245,512,12.5
SE_002,github.com/fintech/payment-api,Python,FastAPI,15,89000,3450,18,45,1,92.1,3.8,89,8,1200,9.1,78,92,3.1,8.2,GitLab_CI,Multiple_Daily,4,8,Apache_2.0,Yes,2340,156,12,95,1.8,98,123,15,Kubernetes,GCP,8,9.5,123,256,8.9
SE_003,bitbucket.org/enterprise/crm-system,Java,Spring_Boot,25,234000,5670,28,156,8,78.9,5.6,345,25,2100,7.8,68,72,8.9,9.5,Jenkins,Weekly,24,45,Proprietary,No,0,0,89,88,4.2,85,234,45,Docker,Azure,6,7.8,567,1024,18.7
SE_004,github.com/startup/mobile-app,Dart,Flutter,6,67000,1890,8,34,2,85.2,4.1,123,15,567,8.5,75,68,6.8,4.2,CircleCI,Daily,6,12,BSD_3,Yes,890,67,45,90,2.8,92,89,12,None,Firebase,3,8.9,189,128,6.5
SE_005,gitlab.com/opensource/data-pipeline,Python,Apache_Airflow,12,156000,4230,22,78,5,89.7,4.8,234,18,1456,8.9,81,88,4.5,7.8,GitLab_CI,Daily,5,10,GPL_3.0,Yes,3450,234,34,94,1.9,96,187,23,Docker,AWS,7,9.1,345,768,15.2
SE_006,github.com/gamedev/unity-rpg,C#,Unity,18,345000,6780,35,234,12,72.4,6.2,567,35,2890,7.2,65,58,12.4,6.7,Azure_DevOps,Bi_Weekly,48,90,Unity_License,No,12500,567,156,85,5.1,78,456,67,None,Unity_Cloud,4,7.5,234,2048,25.8
SE_007,github.com/ai-research/ml-framework,Python,PyTorch,10,198000,3890,15,67,3,91.3,3.9,167,22,1678,9.3,82,94,2.8,8.9,GitHub_Actions,Daily,3,6,MIT,Yes,8900,445,78,96,1.5,99,298,34,Docker,GCP,9,9.6,456,1536,22.3
SE_008,bitbucket.org/corp/inventory-mgmt,PHP,Laravel,14,123000,2890,19,89,6,83.6,5.1,289,20,1234,8.1,71,76,7.3,7.5,Bitbucket_Pipelines,Weekly,16,30,Proprietary,No,0,0,67,87,3.4,88,156,28,Docker,AWS,5,8.2,345,512,14.6
SE_009,github.com/blockchain/defi-protocol,Solidity,Hardhat,8,45000,1567,12,23,15,65.8,7.8,89,8,345,6.8,58,45,15.6,5.2,GitHub_Actions,Multiple_Daily,2,5,MIT,Yes,2300,189,89,93,1.2,85,67,23,None,Ethereum,3,6.2,123,64,8.9
SE_010,gitlab.com/healthtech/patient-portal,Vue.js,Nuxt.js,9,89000,2345,11,56,4,88.9,4.3,145,14,789,8.6,76,81,4.7,6.8,GitLab_CI,Daily,7,18,AGPL_3.0,Yes,567,45,34,91,2.3,94,98,16,Docker,Azure,6,8.8,267,384,11.2
SE_011,github.com/ecommerce/marketplace,Ruby,Rails,20,178000,4560,24,123,7,81.2,5.4,378,28,1567,7.9,69,74,9.1,8.1,GitHub_Actions,Daily,12,25,MIT,Yes,1890,123,67,89,3.1,87,189,31,Kubernetes,AWS,7,8.4,389,896,16.8
SE_012,azure-devops.visualstudio.com/corp/accounting,C#,.NET_Core,16,156000,3678,21,98,5,86.7,4.7,267,18,1345,8.4,73,79,6.2,7.9,Azure_DevOps,Weekly,18,22,Proprietary,No,0,0,78,86,2.9,90,134,22,Docker,Azure,8,8.7,234,640,13.5
SE_013,github.com/iot/sensor-network,C++,Qt,7,98000,2123,9,67,9,76.3,6.1,198,32,567,7.6,67,62,11.3,9.2,Jenkins,Bi_Weekly,36,60,Apache_2.0,Yes,345,23,45,84,4.8,82,78,18,None,AWS_IoT,4,7.9,145,256,28.7
SE_014,github.com/social/messaging-app,Kotlin,Android,12,134000,3234,16,89,6,84.5,4.9,234,16,1123,8.2,74,77,6.8,6.2,GitHub_Actions,Daily,8,14,Apache_2.0,Yes,4560,289,89,92,2.4,93,167,25,Docker,Firebase,5,8.6,178,448,9.8
SE_015,gitlab.com/fintech/trading-platform,Go,Gin,22,289000,5890,31,178,11,79.8,5.8,456,22,2345,7.7,66,71,8.7,8.8,GitLab_CI,Multiple_Daily,3,7,Proprietary,No,0,0,134,91,2.1,89,234,42,Kubernetes,GCP,9,8.1,89,512,19.6
SE_016,github.com/analytics/dashboard,JavaScript,D3.js,5,56000,1678,7,34,2,90.4,3.7,98,10,456,8.9,79,86,3.4,5.8,Netlify,Daily,4,8,MIT,Yes,1234,78,23,94,1.7,96,89,11,None,Vercel,3,9.3,234,192,7.2
SE_017,bitbucket.org/manufacturing/erp,Java,Spring,28,456000,7890,42,289,18,74.2,6.7,678,45,3456,7.1,63,69,13.2,10.2,Jenkins,Weekly,32,75,Proprietary,No,0,0,234,82,5.6,76,345,78,Docker,On_Premise,4,7.2,567,2048,31.5
SE_018,github.com/education/lms,PHP,Symfony,11,167000,3567,18,98,8,82.1,5.2,312,24,1456,8.0,70,73,7.9,7.1,GitHub_Actions,Weekly,14,28,GPL_3.0,Yes,2890,167,56,88,3.2,86,178,29,Docker,AWS,6,8.3,298,768,17.4
SE_019,github.com/climate/monitoring-station,Python,Django,13,123000,2890,17,67,4,87.8,4.4,189,16,1234,8.7,77,83,5.1,7.6,GitHub_Actions,Daily,6,12,Apache_2.0,Yes,1567,98,34,93,2.0,95,134,19,Docker,GCP,7,9.0,123,384,12.8
SE_020,azure-devops.visualstudio.com/retail/pos-system,C#,WPF,19,234000,4567,26,156,9,78.9,5.9,389,38,1890,7.8,68,65,10.4,8.4,Azure_DevOps,Weekly,20,35,Proprietary,No,0,0,123,85,4.1,83,189,35,None,Azure,5,7.7,345,1024,22.6
SE_021,github.com/transport/route-optimizer,Python,Flask,8,89000,2234,12,45,3,89.5,4.0,134,12,890,8.8,78,89,4.2,6.9,GitHub_Actions,Daily,5,10,MIT,Yes,789,56,28,94,1.8,97,123,17,Docker,AWS,6,9.2,167,320,11.5
SE_022,gitlab.com/media/streaming-service,Node.js,Express,24,298000,6234,38,189,13,76.7,6.3,567,42,2567,7.4,64,67,11.8,7.8,GitLab_CI,Multiple_Daily,4,9,Proprietary,No,0,0,178,89,2.7,84,267,48,Kubernetes,AWS,8,7.6,234,1536,26.3
SE_023,github.com/security/penetration-testing,Python,Metasploit,6,67000,1890,9,23,1,94.5,3.2,67,8,678,9.4,85,92,2.1,8.9,GitHub_Actions,Weekly,12,5,GPL_2.0,Yes,3456,234,12,97,1.3,98,89,8,Docker,Kali_Linux,12,9.8,45,128,5.2
SE_024,bitbucket.org/aerospace/flight-control,C++,ROS,15,345000,4890,23,234,25,68.9,8.2,789,65,1234,6.8,58,54,18.7,12.4,Jenkins,Monthly,120,180,Proprietary,No,0,0,345,78,8.4,72,456,89,None,On_Premise,3,6.5,1234,4096,45.8
SE_025,github.com/weather/prediction-model,R,Shiny,9,123000,2567,14,56,2,91.2,3.6,123,18,1567,9.0,80,88,3.8,9.1,GitHub_Actions,Weekly,16,8,MIT,Yes,2134,167,45,95,2.2,96,167,21,Docker,AWS,5,9.3,567,1024,18.9
SE_026,gitlab.com/logistics/warehouse-mgmt,Java,Quarkus,17,189000,3890,22,89,7,83.4,5.0,298,26,1789,8.3,72,78,7.1,8.0,GitLab_CI,Daily,10,20,Apache_2.0,Yes,1234,89,67,91,2.8,89,234,33,Kubernetes,GCP,7,8.5,298,896,16.7
SE_027,github.com/crypto/wallet-app,Rust,Actix,5,78000,1678,8,34,3,88.7,4.1,98,14,567,8.9,76,81,4.5,7.2,GitHub_Actions,Daily,6,12,MIT,Yes,5670,456,34,96,1.6,97,78,9,Docker,None,4,9.1,123,256,8.7
SE_028,azure-devops.visualstudio.com/insurance/claims,VB.NET,.NET_Framework,21,267000,4234,29,167,12,75.6,6.4,456,48,1890,7.3,62,63,12.8,9.8,Azure_DevOps,Bi_Weekly,36,60,Proprietary,No,0,0,189,83,5.2,79,298,56,None,Azure,6,7.4,456,1536,28.9
SE_029,github.com/mapping/gis-platform,Python,GeoDjango,12,156000,3456,19,78,5,86.8,4.6,234,20,1345,8.4,74,84,5.9,7.7,GitHub_Actions,Daily,8,15,BSD_2,Yes,1890,123,56,92,2.5,93,189,26,Docker,AWS,8,8.8,234,768,14.3
SE_030,github.com/quantum/simulator,C++,Qiskit,7,89000,2123,11,45,8,81.2,5.7,167,38,678,7.9,69,72,8.4,10.5,GitHub_Actions,Weekly,18,25,Apache_2.0,Yes,2345,178,23,89,3.1,87,123,19,Docker,IBM_Cloud,5,8.2,2345,2048,35.6
SE_031,bitbucket.org/telecom/network-monitor,Go,Echo,14,134000,2890,18,89,6,84.9,4.8,198,16,1123,8.2,73,79,6.3,7.4,Bitbucket_Pipelines,Daily,12,18,Proprietary,No,0,0,78,90,2.9,91,167,24,Docker,AWS,9,8.6,189,512,13.8
SE_032,github.com/renewable/energy-mgmt,Python,FastAPI,10,98000,2345,15,56,4,89.1,4.2,145,14,890,8.7,77,85,4.8,6.8,GitHub_Actions,Daily,7,12,MIT,Yes,1567,98,34,94,2.0,95,134,18,Docker,GCP,6,9.0,178,448,12.4
SE_033,gitlab.com/automotive/diagnostics,C,Embedded,8,234000,3567,12,189,15,72.3,7.1,567,85,456,6.9,59,48,16.8,11.2,GitLab_CI,Weekly,48,90,Proprietary,No,0,0,234,81,6.8,68,89,45,None,On_Premise,2,6.8,345,128,52.3
SE_034,github.com/sports/analytics-engine,Scala,Spark,11,167000,3234,17,98,7,85.7,5.3,267,32,1456,8.1,71,76,7.8,8.3,GitHub_Actions,Weekly,14,22,Apache_2.0,Yes,2890,189,67,88,3.3,86,234,31,Kubernetes,AWS,7,8.4,567,1536,24.7
SE_035,azure-devops.visualstudio.com/pharma/research,MATLAB,Simulink,13,189000,2567,16,123,9,79.4,5.9,345,45,1234,7.6,66,69,9.7,9.6,Azure_DevOps,Monthly,72,120,Proprietary,No,0,0,156,84,4.9,77,167,38,None,Azure,4,7.8,1234,2048,38.9
SE_036,github.com/agriculture/crop-monitor,JavaScript,Node.js,7,78000,1890,10,45,3,87.9,4.3,123,12,678,8.6,75,82,5.4,6.1,GitHub_Actions,Daily,8,14,MIT,Yes,1234,78,28,93,2.1,94,98,14,Docker,AWS,5,8.9,145,384,10.7
SE_037,github.com/space/satellite-tracking,Python,Astropy,9,123000,2678,13,67,4,88.5,4.4,178,16,1012,8.5,76,87,4.9,8.7,GitHub_Actions,Weekly,12,16,NASA_License,Yes,3456,267,45,94,2.3,96,156,22,Docker,AWS,6,9.2,234,640,15.8
SE_038,bitbucket.org/fashion/ecommerce,Ruby,Rails,16,145000,3456,21,89,8,82.6,5.1,289,22,1345,8.0,70,74,8.2,7.3,Bitbucket_Pipelines,Daily,10,20,Proprietary,No,0,0,98,87,3.4,88,178,27,Docker,AWS,6,8.3,267,768,18.2
SE_039,github.com/food/recipe-engine,Python,Django,8,89000,2134,12,56,5,86.2,4.7,156,15,789,8.3,73,80,6.1,6.9,GitHub_Actions,Daily,9,16,GPL_3.0,Yes,1890,134,39,91,2.7,92,123,20,Docker,GCP,5,8.7,189,512,13.5
SE_040,gitlab.com/construction/project-mgmt,Java,Spring_Boot,19,234000,4567,26,145,10,81.8,5.5,378,28,1890,7.9,69,73,8.9,8.5,GitLab_CI,Weekly,16,30,Proprietary,No,0,0,123,86,3.8,85,267,39,Docker,Azure,7,8.1,345,1024,20.4